Date,Asset,Signal,Confidence,Strategy,Avg Return,Accuracy,Score,Weight
2025-07-06,Gold,Buy,0.8,Fusion,1.17,1.0,0.85,0.25
2025-07-06,Wheat,Buy,0.72,Fusion,1.17,1.0,0.85,0.25
